NC_001357.1 Human papillomavirus - 18, complete genome	Human papillomavirus
NC_001417.2 phage MS2 genome	Phage MS2
NC_001782.1 Saccharomyces cerevisiae killer virus M1, complete genome	Saccharomyces cerevisiae killer virus
NC_002016.1 Influenza A virus (A/Puerto Rico/8/1934(H1N1)) segment 7, complete sequence	Flu A (Puerto Rico(H1N1)) segment 7
NC_002020.1 Influenza A virus (A/Puerto Rico/8/1934(H1N1)) segment 8, complete sequence	Flu A (Puerto Rico(H1N1)) segment 8
NC_002023.1 Influenza A virus (A/Puerto Rico/8/1934(H1N1)) segment 1, complete sequence	Flu A (Puerto Rico(H1N1)) segment 9
NC_002645.1 Human coronavirus 229E, complete genome	Human CoV 229E
NC_003045.1 Bovine coronavirus isolate BCoV-ENT, complete genome	Bovine coronavirus isolate BCoV-ENT
NC_003461.1 Human parainfluenza virus 1, complete genome	Human parainfluenza virus 1
NC_004718.3 SARS coronavirus Tor2, complete genome	SARS-CoV2 Tor2
NC_004905.2 Influenza A virus (A/Hong Kong/1073/99(H9N2)) segment 5, complete sequence	Flu A (Hong Kong(H9N2)) segment 5
NC_004906.1 Influenza A virus (A/Hong Kong/1073/99(H9N2)) segment 8, complete sequence	Flu A (Hong Kong(H9N2)) segment 8
NC_004907.1 Influenza A virus (A/Hong Kong/1073/99(H9N2)) segment 7, complete sequence	Flu A (Hong Kong(H9N2)) segment 7
NC_004909.1 Influenza A virus na gene for neuraminidase, genomic RNA, strain A/Hong Kong/1073/99(H9N2)	Flu A (Hong Kong(H9N2)) na gene
NC_004910.1 Influenza A virus pb2 gene for polymerase Pb2, genomic RNA, strain A/Hong Kong/1073/99(H9N2)	Flu A (Hong Kong(H9N2)) pb2 gene
NC_004912.1 Influenza A virus pa gene for polymerase PA, genomic RNA, strain A/Hong Kong/1073/99(H9N2)	Flu A (Hong Kong(H9N2)) pa gene
NC_005831.2 Human Coronavirus NL63, complete genome	Human CoV NL63
NC_006213.1 Human coronavirus OC43 strain ATCC VR-759, complete genome	Human CoV OC43
NC_007358.1 Influenza A virus (A/goose/Guangdong/1/1996(H5N1)) polymerase (PB1) and PB1-F2 protein (PB1-F2) genes, complete cds	Flu A (H5N1) polymerase and PB1-F2 protein
NC_007359.1 Influenza A virus (A/goose/Guangdong/1/1996(H5N1)) polymerase (PA) and PA-X protein (PA-X) genes, complete cds	Flu A (H5N1) polymerase  and PA-X protein
NC_007360.1 Influenza A virus (A/Goose/Guangdong/1/96(H5N1)) nucleocapsid protein (NP) gene, complete cds	Flu A (H5N1) nucleocapsid protein gene
NC_007363.1 Influenza A virus (A/goose/Guangdong/1/1996(H5N1)) segment 7, complete sequence	Flu A (H5N1) segement 7
NC_007366.1 Influenza A virus (A/New York/392/2004(H3N2)) segment 4, complete sequence	Flu A (New York(H3N2)) segment 4
NC_007367.1 Influenza A virus (A/New York/392/2004(H3N2)) segment 7, complete sequence	Flu A (New York(H3N2)) segment 7
NC_007368.1 Influenza A virus (A/New York/392/2004(H3N2)) segment 6, complete sequence	Flu A (New York(H3N2)) segment 6
NC_007369.1 Influenza A virus (A/New York/392/2004(H3N2)) segment 5, complete sequence	Flu A (New York(H3N2)) segment 5
